year_built;volume_interior;volume_other;lot_size;taxable_value
1975;328;19;158;142500
1964;321;23;150;136000
1987;342;109;282;170000
1941;350;38;260;150000
1979;205;14;100;115000
1986;322;27;191;150000
1980;363;77;180;177000
1955;292;36;122;139000
1980;481;111;588;353000
1937;336;193;282;90000
1926;464;0;238;157000
1915;441;30;162;135000
1981;323;25;162;165000
1970;476;90;336;225000
1903;355;56;169;168000
1964;321;23;116;105000
1977;146;70;100;102500
1920;214;0;57;95000
1976;398;52;205;180000
1980;237;12;114;114000
1986;351;18;280;225000
1980;400;78;194;260000
1956;323;25;130;118280
1979;365;52;227;182000
1984;300;20;189;181250
1953;468;62;478;240000
1979;393;13;100;125000
1928;643;0;132;170000
1972;317;23;118;145000
1978;680;100;586;415000
1915;324;29;125;100000
1920;246;56;160;120000
1984;325;19;148;150000
1973;350;24;149;162500
1979;387;52;244;195000
1981;317;40;121;149000
1988;448;64;418;284000
1950;607;21;743;370000
1963;212;33;100;67500
1983;351;23;189;185000
1981;323;25;160;139500
1988;284;84;282;234000
1927;313;30;189;100000
1926;301;17;122;75000
1936;1074;149;773;400000
1989;280;0;140;147000
1964;321;23;119;115000
1956;372;14;176;150000
1964;321;23;111;132500
1991;386;120;234;240000
1973;350;24;150;142500
1939;344;80;223;175000
1969;313;32;152;150000
1915;489;433;640;185000
1977;367;27;155;146500
1975;282;27;141;117500
1961;340;44;333;145000
1961;251;17;142;125000
1906;236;39;92;82500
1983;291;20;143;150000
1980;232;15;100;95000
1976;333;81;204;192500
1986;324;46;237;207500
1964;321;23;147;136500
1938;626;16;234;330000
1935;434;66;241;110200
1960;294;17;196;99000
1964;277;14;144;89000
1979;205;17;100;110000
1964;325;76;137;125000
